"product_index";"product_name";"product_tag";"product_kcal";"product_protein";"product_Na";"product_Ka";"product_P";"product_carbohydrate";"product_protein_range"
150;"富有甜柿(大雪山)";"水果類";56.7934;0.391;0.48;123.583;10.753;15.122;0
151;"無子西瓜";"水果類";32.8436;0.875;0.61;150.288;22.528;8.2017;0
152;"無子芭樂";"水果類";33.4051;0.74;0.1583;114.768;12.0041;8.5848;0
153;"無子紅葡萄(含皮)";"水果類";71.6646;0.46;3.1072;194.19;19.6011;19.2264;0
154;"筆柿";"水果類";69.216;0.574;1.9299;155.794;14.6125;18.3445;0
155;"華寶大西瓜(花蓮)";"水果類";33.1023;0.654;1.44;116.009;10.8;8.4475;0
156;"萊姆汁";"水果類";31.0753;0.381;0.6595;104.159;13.0413;8.0788;0
157;"黃皮葡萄柚";"水果類";37.3103;0.668;3.6267;90.0167;16.5868;9.1732;0
158;"黃皮葡萄柚(進口)";"水果類";37.8268;0.717;1.4728;177.871;16.1137;9.6569;0
159;"黃肉李";"水果類";35.4499;0.436;0.474;127.525;14.001;8.9241;0
160;"黃金聖女小番茄";"水果類";30.3287;1.019;3.737;274.164;27.815;7.2341;0
161;"黃香瓜";"水果類";30.4992;0.6;16.0;240.0;16.0;7.54;0
162;"黃番茄";"水果類";22.41;0.924;3.094;230.417;25.0928;5.2603;0
163;"黑金剛蓮霧";"水果類";33.8464;0.473;0.741;94.998;7.8014;8.8178;0
164;"黑珍珠蓮霧";"水果類";37.328;0.457;1.9483;108.942;9.898;9.6215;0
165;"黑美人西瓜";"水果類";36.465;0.912;1.6611;110.71;15.0285;9.0829;0
166;"黑美人葡萄(含皮)";"水果類";65.5083;0.5135;0.2129;186.931;24.4785;17.3899;0
167;"黑香芒果";"水果類";65.9523;0.813;0.169;164.935;22.486;16.871;0
168;"黑棗";"水果類";230.081;2.71;2.89;599.75;53.3;60.9404;0
169;"黑葉仔荔枝";"水果類";61.6818;0.9033;2.2498;179.614;22.9728;15.7574;0
170;"椪柑";"水果類";41.7903;0.6175;2.1811;56.8527;13.1468;10.731;0
171;"圓果金柑";"水果類";31.5768;0.7;4.0;110.0;15.0;7.56;0
172;"圓果金柑汁(綠皮)";"水果類";32.6859;0.891;1.3305;164.98;20.298;7.9107;0
173;"意大利葡萄";"水果類";51.9108;0.499;0.1844;135.756;15.8021;13.6912;0
174;"愛文芒果";"水果類";43.6665;0.2735;2.0819;95.9617;11.7283;11.3663;0
175;"新世紀梨";"水果類";41.5951;0.368;6.0671;114.945;10.5547;10.719;0
176;"新興梨";"水果類";44.063;0.24;0.3705;144.747;13.1066;11.8832;0
177;"新疆哈蜜瓜";"水果類";27.7775;0.7;29.0;190.0;13.0;6.865;0
178;"楊桃(11月取樣)";"水果類";30.8111;0.438;0.2457;150.819;7.5618;8.0466;0
179;"楊桃(2月取樣)";"水果類";29.3672;0.438;0.0877;136.161;8.7452;7.5781;0
180;"楊桃(5月取樣)";"水果類";34.4451;0.636;0.3473;170.952;10.482;8.6792;0
181;"楊桃(9月取樣)";"水果類";33.4224;0.468;0.4848;133.269;9.0625;8.7635;0
182;"楊桃平均值";"水果類";32.0114;0.495;0.2914;147.8;8.9629;8.2669;0
183;"聖女小番茄";"水果類";33.4886;1.1085;9.5191;200.025;25.9244;6.7298;0
184;"聖心芒果";"水果類";49.9574;0.47;0.385;112.109;8.306;12.8676;0
185;"試交二號小番茄";"水果類";28.3273;0.736;2.5326;270.825;23.8265;7.1771;0
186;"農民黨一號芒果";"水果類";52.5421;0.497;0.0734;94.979;12.438;13.4597;0
187;"酪梨(室溫存放0天)";"水果類";80.0423;1.455;0.408;290.721;28.175;7.1315;0
188;"酪梨(室溫存放3天)";"水果類";84.4824;1.365;0.309;360.939;34.211;6.3301;0
189;"酪梨(室溫存放6天)";"水果類";92.2151;1.517;0.548;384.521;38.303;6.5564;0
190;"酪梨(綠皮)";"水果類";64.9787;1.6293;2.0583;251.496;32.5114;7.9446;0
191;"酪梨平均值(綠皮)";"水果類";72.5105;1.5422;1.2332;271.108;30.3432;7.5381;0
192;"嘉玉甜瓜";"水果類";42.8162;1.281;3.68;412.643;26.932;10.4081;0
193;"嘉寶瓜";"水果類";40.2228;0.78;9.0;80.0;18.0;9.98;0
194;"榴槤";"水果類";136.066;2.616;2.6114;440.484;29.6939;31.5997;0
195;"福壽桃";"水果類";47.2326;0.888;0.483;237.845;18.222;11.9003;0
196;"綠番茄";"水果類";23.6436;0.9475;5.8989;210.402;20.5757;5.4113;0
197;"綠葡萄平均值";"水果類";57.9343;0.5188;3.6363;149.681;19.5473;15.2524;0
198;"翠玉青蘋果";"水果類";46.2284;0.3525;3.8562;116.005;9.0169;12.2188;0
199;"翡翠李";"水果類";47.8949;0.685;0.1282;140.354;16.1735;11.4314;0
200;"蜜世界洋香瓜";"水果類";28.8139;0.7225;18.5255;176.322;10.4002;7.1412;0
201;"蜜棗(進口)";"水果類";52.89;0.577;0.2319;173.707;12.5717;13.6207;0
202;"鳳梨平均值(雜交種)";"水果類";55.7453;0.7744;0.3637;165.5;10.2417;14.4658;0
203;"鳳梨釋迦";"水果類";102.462;1.182;2.8109;310.004;24.5757;26.5074;0
204;"蓮花芒果";"水果類";47.2908;0.421;0.401;94.78;14.982;12.2047;0
205;"蓮霧平均值(粉紅色種)";"水果類";35.5872;0.465;1.3447;101.97;8.8497;9.2197;0
206;"橫山梨";"水果類";46.5972;0.4055;4.7379;131.493;11.4655;12.3734;0
207;"澳洲甜橙(進口)";"水果類";46.0467;0.889;2.5564;156.473;24.2087;11.6411;0
208;"龍眼";"水果類";72.5786;1.1275;2.5862;282.189;29.3649;17.8808;0
209;"龍眼乾";"水果類";277.175;5.065;4.8081;1234.89;144.79;70.6801;0
210;"檸檬";"水果類";33.3043;0.708;3.833;149.949;22.1515;7.35;0
211;"檸檬汁(黃皮)";"水果類";29.8739;0.478;1.066;102.144;9.9715;7.1598;0
212;"檸檬汁(綠皮)";"水果類";31.4048;0.422;1.1165;143.696;14.4319;6.9319;0
213;"檸檬汁平均值";"水果類";30.6394;0.45;1.0913;122.92;12.2017;7.0459;0
214;"檸檬柑";"水果類";48.2649;1.108;1.003;161.341;23.9614;12.1847;0
215;"藍寶石洋香瓜";"水果類";33.5724;1.095;12.205;378.353;11.4453;8.2037;0
216;"蟠桃";"水果類";45.2668;0.854;0.0;184.784;23.244;11.2681;0
217;"豐水梨";"水果類";35.2223;0.5175;0.2947;156.61;15.804;9.1452;0
218;"蘋果平均值(青皮)";"水果類";49.2122;0.3325;4.4769;119.951;10.8528;12.9983;0
219;"蘋果平均值(混色)";"水果類";51.5889;0.2148;1.5559;118.146;9.9798;13.9119;0
220;"釋迦";"水果類";103.798;2.2;7.0;390.0;46.0;26.64;0
221;"櫻桃";"水果類";74.9321;1.2155;2.2269;236.302;22.5565;19.0748;0
222;"櫻桃小番茄";"水果類";32.5754;0.918;5.5793;335.545;22.2728;8.0501;0
223;"鶯哥桃";"水果類";42.316;0.9545;0.4002;248.907;22.6989;10.4516;0
224;"大餅包小餅(紅豆)";"加工調理食品類";372.925;8.3;135.0;78.0;64.0;48.5;2
225;"小籠包";"加工調理食品類";239.783;9.6;248.0;130.0;85.0;15.9;0
226;"天婦羅";"加工調理食品類";174.399;12.4;684.0;96.0;110.0;21.1;0
227;"水晶餃";"加工調理食品類";188.802;2.828;347.62;71.704;36.288;36.8302;0
228;"水煎包";"加工調理食品類";165.278;4.27;309.825;128.788;48.312;25.2368;0
229;"牛肉漢堡肉";"加工調理食品類";247.747;14.413;301.709;197.268;135.399;6.2825;0
230;"牛肉餡餅";"加工調理食品類";222.679;9.6;350.0;141.0;66.0;23.5;0
231;"玉米濃湯調理包";"加工調理食品類";366.577;4.363;4170.66;327.178;145.298;74.6776;0
232;"白饅頭";"加工調理食品類";253.071;8.1;182.0;66.0;58.0;51.3;0
233;"竹筍包";"加工調理食品類";207.097;6.888;347.744;60.203;35.953;32.8962;0
234;"肉圓";"加工調理食品類";134.558;3.1;217.0;49.0;22.0;27.4;0
235;"肉粽";"加工調理食品類";233.175;8.2;343.0;106.0;76.0;30.7;0
236;"肉羹";"加工調理食品類";245.03;9.718;511.838;102.302;198.314;18.8898;0
237;"冷凍叉燒包";"加工調理食品類";262.131;8.8;167.0;88.0;165.0;47.5;0
238;"冷凍叉燒包子";"加工調理食品類";276.756;7.123;209.68;92.72;100.52;43.5716;0
239;"冷凍小香腸";"加工調理食品類";247.232;14.82;722.43;517.42;246.61;7.4389;0
240;"冷凍干貝酥";"加工調理食品類";145.29;8.33;802.07;79.9;80.89;27.7321;0
241;"冷凍文蛤丸";"加工調理食品類";209.409;16.157;565.24;225.8;165.47;15.7752;0
242;"冷凍水晶包";"加工調理食品類";209.488;4.76;192.5;77.53;55.15;30.424;0
243;"冷凍火腿炒飯";"加工調理食品類";187.861;5.0;220.0;57.0;62.0;29.7;0
244;"冷凍牛肉水餃";"加工調理食品類";218.893;8.92;383.48;173.53;78.4;22.0632;0
245;"冷凍牛肉包子";"加工調理食品類";266.935;10.822;261.07;121.62;123.0;46.0662;0
246;"冷凍冬菜蝦仁餛飩";"加工調理食品類";179.961;9.1;316.0;127.0;90.0;26.5;0
247;"冷凍可樂餅(奶汁)";"加工調理食品類";113.525;3.64;338.07;78.7;71.54;19.8054;0
248;"冷凍白饅頭";"加工調理食品類";277.171;7.412;91.13;86.58;69.46;57.0233;0
249;"冷凍芋泥包";"加工調理食品類";260.158;6.628;46.29;129.67;222.935;51.3485;0
250;"冷凍豆沙包";"加工調理食品類";241.098;7.4;60.0;103.0;264.0;52.6;0
251;"冷凍咕咾肉";"加工調理食品類";182.991;6.4;395.0;174.0;71.0;18.3;0
252;"冷凍披薩(黑胡椒火腿)";"加工調理食品類";208.486;9.323;404.9;240.15;252.87;27.7311;0
253;"冷凍芝麻包";"加工調理食品類";349.798;7.2;24.0;139.0;321.0;49.4;2
254;"冷凍芝麻湯圓";"加工調理食品類";342.57;4.8;3.0;45.0;398.0;48.2;2
255;"冷凍花生湯圓";"加工調理食品類";341.989;5.2;6.0;55.0;279.0;48.1;2
256;"冷凍花枝脆丸";"加工調理食品類";125.161;11.271;439.21;118.19;232.19;13.7671;0
257;"冷凍花枝排";"加工調理食品類";185.832;5.491;648.203;123.934;163.364;24.8882;0
258;"冷凍花枝塊";"加工調理食品類";179.134;11.25;507.69;66.71;172.55;17.0479;0
259;"冷凍花枝餃";"加工調理食品類";167.477;12.356;723.36;102.65;40.31;20.9511;0
260;"冷凍花枝羹";"加工調理食品類";124.842;11.4;448.0;40.0;211.0;9.4;0
261;"冷凍虱目魚丸";"加工調理食品類";199.947;13.7945;559.29;141.94;193.835;11.2561;0
262;"冷凍春捲";"加工調理食品類";269.719;5.143;449.4;113.91;56.82;31.4589;0
263;"冷凍洋蔥圈";"加工調理食品類";278.5;3.977;502.95;173.01;127.79;41.541;0
264;"冷凍珍珠丸";"加工調理食品類";220.268;9.523;313.407;165.93;115.113;21.6597;0
265;"冷凍香菇餃";"加工調理食品類";231.261;12.3;672.55;194.25;154.61;11.5049;0
266;"冷凍香菇雞肉水餃";"加工調理食品類";219.362;9.54;350.4;166.37;83.42;22.7025;0
267;"冷凍素食水餃";"加工調理食品類";173.252;8.7425;369.38;188.185;232.185;25.9005;0
268;"冷凍素食熟水餃";"加工調理食品類";207.515;7.155;491.42;167.16;68.39;32.8163;0
269;"冷凍素菜包子";"加工調理食品類";225.724;8.6;244.0;100.0;304.0;42.8;0
270;"冷凍素雞塊";"加工調理食品類";204.61;14.174;455.61;57.61;146.47;19.0134;0
271;"冷凍貢丸";"加工調理食品類";236.075;16.64;580.295;194.845;189.8;0.0312;0
272;"冷凍蚵捲";"加工調理食品類";184.27;6.93;463.18;111.67;127.64;12.5159;0
273;"冷凍蛋餃";"加工調理食品類";182.151;12.07;472.36;151.562;173.19;2.04;0
274;"冷凍雪螺餃";"加工調理食品類";202.305;11.59;788.07;40.34;154.74;16.745;0
275;"冷凍魚卵卷";"加工調理食品類";114.203;12.903;830.105;65.935;219.37;15.6536;0
276;"冷凍魚捲";"加工調理食品類";125.763;13.8;401.0;180.0;120.0;17.1;0
277;"冷凍魚餃";"加工調理食品類";275.245;12.5485;663.36;155.115;121.735;12.9418;0
278;"冷凍筒仔米糕";"加工調理食品類";210.617;6.464;331.03;95.11;53.02;33.6199;0
279;"冷凍菜肉餛飩";"加工調理食品類";244.497;9.1;693.0;195.0;87.0;11.3;0
280;"冷凍旗魚丸";"加工調理食品類";152.932;12.1;708.0;93.0;138.0;12.4;0
281;"冷凍旗魚塊";"加工調理食品類";177.019;15.261;422.67;213.71;222.49;14.6533;0
282;"冷凍酸菜焢肉包子";"加工調理食品類";298.85;8.641;342.59;131.79;89.84;37.1819;0
283;"冷凍銀絲卷(奶黃)";"加工調理食品類";281.042;8.931;10.75;100.91;81.24;54.4906;0
284;"冷凍蓮蓉包";"加工調理食品類";290.276;7.9;82.0;67.0;142.0;52.8;0
285;"冷凍蔥油餅";"加工調理食品類";246.319;9.09;601.975;87.6;91.06;50.5047;0
286;"冷凍蝦丸";"加工調理食品類";122.119;10.7615;779.98;46.535;159.225;14.6713;0
287;"冷凍蝦仁炒飯";"加工調理食品類";138.375;4.7;222.0;44.0;44.0;26.3;0
288;"冷凍蝦捲";"加工調理食品類";155.003;10.281;666.685;91.051;190.895;15.9505;0
289;"冷凍蝦餃";"加工調理食品類";271.385;11.3965;621.74;144.855;107.275;13.5122;0
290;"冷凍蝦餅";"加工調理食品類";125.813;9.6;337.0;63.0;118.0;17.3;0
291;"冷凍豬肉水餃";"加工調理食品類";206.312;8.071;447.175;159.965;72.515;22.12;0
292;"冷凍豬肉包子";"加工調理食品類";90.7868;7.6235;229.885;113.93;198.395;37.1581;0
